# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
mostly|adverb|In most cases or for the most part|kadalasan|Sa halos lahat ng pagkakataon|The audience was mostly students.
nearly|adverb|Almost|halos|Malapit nang mangyari|We are nearly finished.
obviously|adverb|In a way that is easy to see|halata|Sa paraang madaling makita|He was obviously tired.
particularly|adverb|Especially, more than others|lalo na|Higit sa iba|I particularly liked the ending.
perfectly|adverb|In a faultless way|perpekto|Nang walang kapintasan|The lid fits perfectly.
possibly|adverb|Perhaps, maybe|maaari|Marahil o baka|That could possibly work.
precisely|adverb|Exactly|tumpak|Nang eksakto|Arrive at precisely nine.
probably|adverb|Most likely|malamang|Malaki ang tsansa|She will probably call.
properly|adverb|In the correct way|maayos|Sa tamang paraan|Fit the part properly.
quickly|adverb|At a fast speed|mabilis|Sa mabilis na paraan|Answer quickly.
quietly|adverb|Without much noise|tahimik|Nang walang ingay|Close the door quietly.
rarely|adverb|Not often|bihira|Hindi madalas|She rarely complains.
really|adverb|Truly or very|talaga|Tunay o napaka|It was really helpful.
recently|adverb|A short time ago|kamakailan|Kani-kanina lamang|We recently moved house.
roughly|adverb|Approximately, or not gently|humigit-kumulang|Halos o hindi banayad|It costs roughly fifty pounds.
seriously|adverb|In a serious manner|seryoso|Sa seryosong paraan|Take the warning seriously.
sharply|adverb|Suddenly and severely|matalas|Nang bigla at matindi|Prices rose sharply.
significantly|adverb|To an important degree|makabuluhan|Sa mahalagang antas|Costs fell significantly.
slightly|adverb|To a small degree|bahagya|Sa maliit na antas|The room is slightly warm.
slowly|adverb|At a low speed|dahan-dahan|Sa mabagal na paraan|Drive slowly here.
strongly|adverb|With great force or conviction|mariin|Nang may lakas o paniniwala|I strongly recommend it.
suddenly|adverb|Quickly and without warning|bigla|Mabilis at walang babala|The lights suddenly went out.
surely|adverb|Certainly, without doubt|tiyak|Walang alinlangan|Surely that cannot be right.
totally|adverb|Completely|lubos|Nang buo|I totally forgot.
truly|adverb|Genuinely and sincerely|tunay|Tunay at taos-puso|I am truly sorry.
unfortunately|adverb|Sadly, by bad luck|sa kasamaang-palad|Sa kasawiang-palad|Unfortunately, the shop was closed.
usually|adverb|In most cases|karaniwan|Sa karamihan ng pagkakataon|I usually walk to work.
virtually|adverb|Almost completely|halos|Halos lubusan|The task is virtually finished.
widely|adverb|Over a large area or by many people|malawakan|Sa malawak na saklaw|The view is widely shared.
willingly|adverb|Readily and without objection|kusang-loob|Nang walang pagtutol|She willingly helped.

# ---------------- Useful Nouns ----------------
ability|noun|The power or skill to do something|kakayahan|Lakas o kasanayang gumawa|She has a real ability to listen.
absence|noun|The state of not being present|kawalan|Kalagayan ng hindi pagdalo|His absence was noticed.
abuse|noun|Cruel treatment, or wrong use|pang-aabuso|Malupit na pagtrato o maling paggamit|Abuse of power must be punished.
access|noun|The right or means to enter or use|akses|Karapatang pumasok o gumamit|Students have access to the lab.
accident|noun|An unexpected harmful event|aksidente|Di-inaasahang masamang pangyayari|The accident closed the road.
account|noun|A record of money, or a description|akawnt|Talaan ng pera o paglalarawan|Open a savings account.
accuracy|noun|The quality of being exactly correct|katumpakan|Katangian ng pagiging tama|Accuracy matters more than speed.
achievement|noun|Something done successfully|tagumpay|Bagay na matagumpay na nagawa|Passing was a real achievement.
advantage|noun|Something that helps you succeed|kalamangan|Bagay na tumutulong magtagumpay|Speed is his main advantage.
adventure|noun|An exciting and risky experience|pakikipagsapalaran|Kapana-panabik at mapanganib na karanasan|The trip was quite an adventure.
advertisement|noun|A public notice promoting something|patalastas|Pampublikong paskil na nag-eendorso|The advertisement ran for a month.
affair|noun|An event or matter of concern|usapin|Pangyayari o bagay na dapat asikasuhin|It is a private affair.
age|noun|The number of years somebody has lived|edad|Bilang ng taong nabuhay|What is your age?
agency|noun|A business providing a service|ahensya|Negosyong nagbibigay ng serbisyo|A travel agency booked the flights.
aid|noun|Help, especially money or supplies|tulong|Tulong lalo na sa pera o gamit|Aid reached the village late.
alternative|noun|Another possible choice|alternatibo|Ibang posibleng pagpipilian|Is there an alternative?
ambition|noun|A strong wish to achieve something|ambisyon|Matinding hangaring magtagumpay|Her ambition is to teach.
angle|noun|The space between two lines meeting|anggulo|Espasyo sa pagitan ng dalawang linya|Measure the angle carefully.
anxiety|noun|A feeling of worry and unease|pagkabalisa|Damdamin ng pag-aalala|Exams cause real anxiety.
appearance|noun|The way somebody or something looks|hitsura|Anyo o kaanyuan|Do not judge by appearance.
application|noun|A formal request, or a practical use|aplikasyon|Pormal na hiling o praktikal na gamit|Submit your application online.
appreciation|noun|Gratitude, or understanding of value|pagpapahalaga|Pasasalamat o pag-unawa sa halaga|He expressed his appreciation.
arrangement|noun|A plan, or the way things are placed|kaayusan|Plano o paraan ng paglalagay|We made an arrangement to meet.
assistance|noun|Help given to somebody|tulong|Tulong na ibinibigay|She needs assistance with forms.
association|noun|A group of people with a shared interest|samahan|Grupong may iisang interes|He joined the residents' association.
attitude|noun|The way you think and feel about something|saloobin|Pananaw at damdamin sa isang bagay|Her attitude is very positive.
attraction|noun|Something interesting that draws people|atraksyon|Bagay na umaakit sa mga tao|The castle is the main attraction.
authority|noun|The power to give orders|awtoridad|Kapangyarihang mag-utos|He has the authority to decide.
awareness|noun|Knowledge that something exists|kamalayan|Kaalaman sa pag-iral ng isang bagay|Public awareness has grown.
balance|noun|An even distribution of weight or attention|balanse|Pantay na pamamahagi|Find a balance between work and rest.
barrier|noun|Something that blocks progress|hadlang|Bagay na humaharang sa pag-unlad|Language can be a barrier.
basis|noun|The main reason or foundation|batayan|Pangunahing dahilan o pundasyon|On what basis do you say that?
behaviour|noun|The way somebody acts|asal|Paraan ng pagkilos|His behaviour improved greatly.
belief|noun|Something you accept as true|paniniwala|Bagay na tinatanggap na totoo|That is a common belief.
benefit|noun|An advantage gained from something|benepisyo|Kapakinabangang nakukuha|The benefits outweigh the costs.
border|noun|A line dividing two countries or areas|hangganan|Linyang naghahati sa dalawang lugar|We crossed the border at dawn.
brand|noun|A product name made by one company|tatak|Pangalan ng produkto ng isang kumpanya|It is a well known brand.
burden|noun|A heavy load or responsibility|pasanin|Mabigat na dala o pananagutan|Debt became a real burden.
capacity|noun|The amount something can hold or do|kapasidad|Dami ng kayang lamanin o gawin|The hall has a capacity of 300.
career|noun|A person's working life in one field|karera|Buhay-trabaho sa isang larangan|She built a career in law.
cause|noun|The reason something happens|sanhi|Dahilan ng isang pangyayari|The cause is still unknown.
caution|noun|Care taken to avoid danger|pag-iingat|Ingat upang maiwasan ang panganib|Proceed with caution.
chance|noun|A possibility, or an opportunity|pagkakataon|Posibilidad o oportunidad|Give me one more chance.
change|noun|The act of becoming different|pagbabago|Pagiging iba ng isang bagay|Change takes time.
choice|noun|The act of selecting, or an option|pagpili|Pagpili o pagpipilian|You have a difficult choice.
circumstance|noun|A fact or condition affecting a situation|pangyayari|Kalagayang nakaaapekto sa sitwasyon|Under the circumstances, we agreed.
citizen|noun|A legal member of a country|mamamayan|Legal na kasapi ng isang bansa|Every citizen may vote.
comfort|noun|A state of ease and freedom from pain|ginhawa|Kalagayan ng kaginhawahan|The chair offers real comfort.
company|noun|A business organisation|kumpanya|Organisasyong pangnegosyo|The company employs 500 people.
comparison|noun|The act of examining similarities|paghahambing|Pagsusuri ng pagkakatulad|A comparison shows the difference.
competition|noun|An event where people try to win|paligsahan|Kaganapang naglalaban upang manalo|She entered the competition.
complaint|noun|A statement that something is wrong|reklamo|Pahayag na may mali|We received one complaint.
concern|noun|A worry, or something important to you|alalahanin|Pag-aalala o mahalagang bagay|Safety is our main concern.
condition|noun|The state something is in|kalagayan|Estado ng isang bagay|The car is in good condition.
confidence|noun|Belief in yourself or in something|tiwala|Paniniwala sa sarili o sa iba|She spoke with confidence.
conflict|noun|A serious disagreement or fight|alitan|Malubhang di-pagkakasundo|The conflict lasted years.
connection|noun|A link between two things|koneksyon|Ugnayan ng dalawang bagay|There is a clear connection.
consequence|noun|A result of an action|bunga|Resulta ng isang kilos|Face the consequences.
control|noun|The power to direct something|kontrol|Kapangyarihang mamahala|She lost control of the car.
convenience|noun|The quality of being easy to use|kaginhawahan|Katangian ng pagiging madaling gamitin|Online banking offers convenience.
cost|noun|The amount of money needed|halaga|Perang kailangan|What is the total cost?
courage|noun|The ability to face danger or pain|tapang|Kakayahang harapin ang panganib|It takes courage to speak up.
crime|noun|An illegal act|krimen|Gawaing labag sa batas|Crime has fallen in the area.
crisis|noun|A time of great danger or difficulty|krisis|Panahon ng matinding panganib|The country faces a crisis.
culture|noun|The customs and beliefs of a group|kultura|Kaugalian at paniniwala ng grupo|Language shapes culture.
danger|noun|The chance of harm|panganib|Posibilidad ng pinsala|There is no danger now.
decision|noun|A choice made after thinking|desisyon|Pagpiling ginawa matapos mag-isip|It was a hard decision.
department|noun|A section of an organisation|departamento|Bahagi ng isang samahan|She works in the sales department.
desire|noun|A strong wish for something|pagnanais|Matinding hangarin|He has a desire to travel.
development|noun|Growth or gradual improvement|pag-unlad|Paglago o unti-unting pagbuti|Child development varies.
difference|noun|The way things are not the same|pagkakaiba|Paraan ng hindi pagkakatulad|What is the difference?
difficulty|noun|A problem, or the state of being hard|hirap|Suliranin o kalagayan ng pagiging mahirap|We had difficulty finding it.
direction|noun|The way somebody or something moves|direksyon|Daan na tinatahak|Which direction is north?
disadvantage|noun|Something that makes success harder|kawalan|Bagay na nagpapahirap sa tagumpay|Distance is the main disadvantage.
disaster|noun|A very bad event causing damage|sakuna|Napakasamang pangyayaring nagdudulot ng pinsala|The flood was a disaster.
discovery|noun|The finding of something new|pagtuklas|Pagkakatagpo ng bagong bagay|The discovery changed medicine.
disease|noun|An illness affecting people or animals|sakit|Karamdaman sa tao o hayop|The disease spreads quickly.
distinction|noun|A clear difference, or high honour|pagkakaiba|Malinaw na kaibhan o mataas na parangal|Draw a distinction between the two.
duty|noun|Something you must do|tungkulin|Bagay na dapat gawin|It is my duty to report it.
effort|noun|Physical or mental energy used|pagsisikap|Lakas na ginugugol|Success requires effort.
element|noun|One essential part of something|elemento|Isang mahalagang bahagi|Trust is a key element.
emergency|noun|A sudden dangerous situation|emerhensiya|Biglaang mapanganib na sitwasyon|Call this number in an emergency.
emotion|noun|A strong feeling|damdamin|Matinding pakiramdam|Anger is a powerful emotion.
employment|noun|The state of having paid work|hanapbuhay|Kalagayan ng may trabaho|Employment rose last year.
energy|noun|The power to do work|enerhiya|Lakas na kailangan sa gawain|Solar energy is clean.
environment|noun|The natural world, or your surroundings|kapaligiran|Likas na daigdig o paligid|We must protect the environment.
equipment|noun|The tools needed for an activity|kagamitan|Mga kasangkapang kailangan|Safety equipment is provided.
error|noun|A mistake|kamalian|Pagkakamali|The report contains one error.
event|noun|Something that happens|kaganapan|Isang pangyayari|The event drew a large crowd.
example|noun|A thing that shows a general rule|halimbawa|Bagay na nagpapakita ng panuntunan|Give me an example.
exception|noun|Something not following the general rule|eksepsyon|Bagay na hindi sumusunod sa tuntunin|There is one exception.
