# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
break up|phrasal verb|To end a relationship|maghiwalay|Tapusin ang relasyon|They broke up last spring.
carry out|phrasal verb|To perform a task or plan|isagawa|Gawin ang isang plano|The nurse carried out the tests.
cut down on|phrasal verb|To reduce the amount of something|bawasan|Bawasan ang dami o gamit|I am cutting down on sugar.
fall behind|phrasal verb|To fail to keep up|maiwan|Mahuli sa takdang bilis|He fell behind with the reading.
get by|phrasal verb|To manage with what you have|makaraos|Makatawid sa kakaunting kaya|We get by on one salary.
go through|phrasal verb|To experience something difficult|pagdaanan|Danasin ang mahirap na pangyayari|She went through a hard year.
hold on|phrasal verb|To wait, or to grip firmly|kumapit|Maghintay o kumapit nang mahigpit|Hold on to the handrail.
let down|phrasal verb|To disappoint someone|biguin|Hindi tuparin ang inaasahan|I will not let you down.
make up|phrasal verb|To invent a story, or to reconcile|gumawa-gawa|Mag-imbento o magkasundo muli|He made up an excuse.
pass away|phrasal verb|To die, said gently|pumanaw|Mamatay, sa magalang na pananalita|Her grandfather passed away quietly.
run over|phrasal verb|To hit with a vehicle, or to review quickly|masagasaan|Masagasaan o dalian ang pagbalik-aral|Let us run over the plan once more.
stand for|phrasal verb|To represent, or to tolerate|kumatawan|Sumagisag o pahintulutan|The letters stand for our school name.
take over|phrasal verb|To assume control of something|palitan sa pamamahala|Kunin ang pamamahala|A new manager took over.
take up|phrasal verb|To start a hobby, or to occupy space|magsimula ng libangan|Magsimula ng gawain o umokupa ng espasyo|She took up painting last year.
watch out|phrasal verb|To be alert to danger|mag-ingat|Manatiling alerto|Watch out for the step.
wear out|phrasal verb|To become unusable through use|maluma|Masira sa dami ng gamit|My shoes wore out quickly.
work on|phrasal verb|To spend effort improving something|pagtuunan|Pagsikapan ang isang bagay|I am working on my accent.

# ---------------- Proverbs & Sayings ----------------
practice makes perfect|proverb|Repeated effort leads to skill|ang ulit ay nagdadala ng husay|Ang paulit-ulit na pagsasanay ay nagbibigay ng kahusayan|Keep playing scales, practice makes perfect.
honesty is the best policy|proverb|Telling the truth is always wisest|ang katapatan ang pinakamainam|Ang pagsasabi ng totoo ang laging tama|He admitted the error because honesty is the best policy.
look before you leap|proverb|Think carefully before acting|mag-isip bago kumilos|Pag-isipang mabuti bago gumawa|Read the contract, look before you leap.
too many cooks spoil the broth|proverb|Too many helpers ruin the work|dami ng kusinero, sira ang ulam|Sobrang dami ng tumutulong ay nakasisira|Let two people plan it, too many cooks spoil the broth.
don't judge a book by its cover|proverb|Do not judge by appearance alone|huwag husgahan sa anyo|Huwag manghusga sa hitsura lamang|The cafe looks plain, but do not judge a book by its cover.
the grass is always greener on the other side|proverb|Others always seem better off|mas mainam ang hindi atin|Palaging mukhang mas mainam ang buhay ng iba|He envies their job, the grass is always greener.
birds of a feather flock together|proverb|Similar people stay together|magkatulad ay nagkakasama|Ang magkakatulad na tao ay nagsasama-sama|They both love chess, birds of a feather flock together.
a picture is worth a thousand words|proverb|An image explains more than words|isang larawan, libong salita|Higit pa sa salita ang ipinapakita ng larawan|Add a diagram, a picture is worth a thousand words.
better safe than sorry|proverb|Caution is better than regret|mas mabuting mag-ingat|Mas mainam ang pag-iingat kaysa panghihinayang|Take the umbrella, better safe than sorry.
when in Rome do as the Romans do|proverb|Follow local customs when visiting|sa bayan ng iba, sumunod sa kanila|Sumunod sa kaugalian ng lugar na dinatnan|We removed our shoes, when in Rome do as the Romans do.
where there is smoke there is fire|proverb|Signs usually point to a real problem|kung may usok, may apoy|Ang palatandaan ay may tunay na dahilan|The rumours keep coming, where there is smoke there is fire.
you cannot have your cake and eat it|proverb|You cannot enjoy two conflicting benefits|hindi puwede ang dalawa|Hindi maaaring makuha ang dalawang magkasalungat|Choose one course, you cannot have your cake and eat it.
first come first served|proverb|The earliest arrivals are helped first|unang dating, unang serbisyo|Ang unang dumating ang unang pagsisilbihan|Seats are first come first served.
out of sight out of mind|proverb|What is not seen is soon forgotten|kung wala sa paningin, nalilimutan|Ang hindi nakikita ay madaling makalimutan|He stopped writing, out of sight out of mind.
two heads are better than one|proverb|Two people solve problems better|dalawang isip, mas mainam|Mas mainam ang tulong ng dalawang nag-iisip|Let us plan together, two heads are better than one.
all that glitters is not gold|proverb|Attractive things are not always valuable|hindi lahat ng kumikinang ay ginto|Hindi lahat ng maganda sa labas ay mahalaga|The offer sounded great, but all that glitters is not gold.
easy come easy go|proverb|What is gained easily is lost easily|madaling dating, madaling alis|Ang madaling makuha ay madali ring mawala|He spent the prize at once, easy come easy go.
haste makes waste|proverb|Rushing causes mistakes|ang pagmamadali ay nagdudulot ng sayang|Ang biglaang gawa ay nagdudulot ng pagkakamali|Slow down, haste makes waste.
if it ain't broke don't fix it|proverb|Do not change what already works|kung hindi sira, huwag pakialaman|Huwag baguhin ang gumaganang bagay|The old system works, if it ain't broke don't fix it.
laughter is the best medicine|proverb|Humour helps healing and mood|ang tawa ay gamot|Ang katatawanan ay nakapagpapagaling|She watched comedies, laughter is the best medicine.
money does not grow on trees|proverb|Money must be earned carefully|hindi pinipitas ang pera|Ang pera ay pinaghihirapan at hindi kusang dumarating|Save some of it, money does not grow on trees.
necessity is the mother of invention|proverb|Need drives people to invent|ang pangangailangan ay ina ng imbensyon|Ang pangangailangan ang nagtutulak sa pagkatuklas|He built a fan from a motor, necessity is the mother of invention.
no news is good news|proverb|Silence probably means nothing bad happened|walang balita, mabuting balita|Ang katahimikan ay senyales na walang masama|We have not heard from the clinic, no news is good news.
nothing ventured nothing gained|proverb|Without risk there is no reward|walang sugal, walang tubo|Kung walang tapang, walang makukuha|Apply for it, nothing ventured nothing gained.
one man's trash is another man's treasure|proverb|Value differs from person to person|basura sa iba, kayamanan sa iba|Ang walang halaga sa iba ay mahalaga sa iba|She restored the old chair, one man's trash is another man's treasure.
strike while the iron is hot|proverb|Act while the chance is good|gawin habang mainit|Kumilos habang may pagkakataon|Sales are rising, strike while the iron is hot.
the pen is mightier than the sword|proverb|Words influence more than force|ang panulat ay mas matalas sa espada|Higit pa sa dahas ang lakas ng salita|Her article changed the policy, the pen is mightier than the sword.
there is no place like home|proverb|Home is the best place of all|walang tatalo sa tahanan|Walang lugar na kasing-ginhawa ng tahanan|After the trip we agreed there is no place like home.
time heals all wounds|proverb|Pain fades as time passes|panahon ang lunas|Napapawi ng panahon ang sakit ng damdamin|Be patient, time heals all wounds.
united we stand divided we fall|proverb|Unity brings strength|sa pagkakaisa may lakas|Ang pagkakaisa ang nagbibigay ng lakas|Vote as one, united we stand divided we fall.
what goes around comes around|proverb|Your actions return to you|ang ginawa mo ay babalik sa iyo|Ang kabutihan o kasamaan ay bumabalik|Be kind, what goes around comes around.
you reap what you sow|proverb|You get the result of your actions|kung ano ang itinanim, siyang aanihin|Ang bunga ay batay sa ginawa|He studied hard and passed, you reap what you sow.
a watched pot never boils|proverb|Waiting anxiously makes time feel slow|ang inaabangan ay tumatagal|Ang matiyagang paghihintay ay parang tumatagal|Stop refreshing the page, a watched pot never boils.
curiosity killed the cat|proverb|Too much prying leads to trouble|ang pakialam ay nagdadala ng gulo|Ang labis na pag-usisa ay nagdudulot ng problema|Do not open the box, curiosity killed the cat.
do not count your chickens before they hatch|proverb|Do not rely on results not yet certain|huwag bilangin ang hindi pa napisa|Huwag umasa sa hindi pa tiyak|Wait for the letter, do not count your chickens before they hatch.
every dog has its day|proverb|Everyone gets a chance eventually|may araw din ang lahat|May pagkakataon ding darating sa lahat|Keep training, every dog has its day.
give a man a fish and you feed him for a day|proverb|Teaching a skill helps more than giving aid|turuan, huwag lamang bigyan|Mas mabuting magturo kaysa magbigay lamang|We ran a workshop, give a man a fish and you feed him for a day.
great minds think alike|proverb|Clever people reach the same idea|magkatulad ang matatalino|Ang matatalino ay nagkakatulad ng isip|We both chose the same title, great minds think alike.
half a loaf is better than none|proverb|A little is better than nothing|mas mabuti ang kaunti kaysa wala|Mas mainam ang kaunti kaysa walang natamo|Take the partial refund, half a loaf is better than none.
if the shoe fits wear it|proverb|Accept criticism that applies to you|kung bagay, tanggapin|Tanggapin ang bagay na totoo sa iyo|He complained about the remark, but if the shoe fits wear it.
many hands make light work|proverb|Shared effort makes tasks easier|maraming kamay, magaan ang gawa|Ang sama-samang gawa ay nagpapagaan|Everyone helped tidy up, many hands make light work.
never look a gift horse in the mouth|proverb|Do not criticise a gift|huwag suriin ang regalo|Huwag maghanap ng mali sa bigay ng iba|The bike is old but never look a gift horse in the mouth.
slow and steady wins the race|proverb|Consistent effort beats rushing|maingat at tuloy-tuloy ang nananalo|Ang tiyaga at pagtitiyaga ang nagwawagi|Revise a page a night, slow and steady wins the race.
the customer is always right|proverb|Serve the buyer's wishes first|ang kostumer ang laging tama|Unahin ang kagustuhan ng kostumer|We replaced it free, the customer is always right.
there is no smoke without fire|proverb|Rumours often have some basis|walang usok kung walang apoy|May basehan ang mga tsismis|Look into the claim, there is no smoke without fire.
you cannot please everyone|proverb|Some people will always disagree|hindi mo mabibigyang-lugod ang lahat|Hindi maiiwasang may hindi magugustuhan|Publish it anyway, you cannot please everyone.

# ---------------- Word Relationships ----------------
hypernym|noun|A broader word that includes narrower ones|malawak na katawagan|Salitang mas malawak na kinabibilangan ng iba|Fruit is a hypernym of mango.
hyponym|noun|A narrower word included in a broader one|tiyak na katawagan|Salitang mas tiyak sa ilalim ng malawak na uri|Mango is a hyponym of fruit.
meronym|noun|A word naming a part of a whole|bahagi ng kabuuan|Salitang tumutukoy sa bahagi ng isang buo|Wheel is a meronym of car.
collocation|noun|Words that habitually go together|magkakasamang salita|Mga salitang laging pinagsasama|We say heavy rain, and that is a collocation.
connotation|noun|The feeling a word carries beyond its meaning|damdaming kaakibat|Damdaming nakakabit sa salita|Thrifty and stingy differ in connotation.
denotation|noun|The plain dictionary meaning of a word|tuwirang kahulugan|Ang literal na kahulugan sa diksyunaryo|The denotation of home is a place where one lives.
nuance|noun|A very small difference in meaning|maliit na pagkakaiba|Napakaliit na pagkakaiba sa kahulugan|Note the nuance between angry and irritated.
polysemy|noun|One word having several related meanings|maramihang kahulugan|Isang salitang may maraming kaugnay na kahulugan|The word head shows polysemy.
cognate|noun|A word related to one in another language|kaugnay na salita|Salitang may kaugnayan sa ibang wika|Nation and nacion are cognates.
false friend|noun|A foreign word that looks familiar but differs|mapanlinlang na salita|Salitang mukhang pamilyar ngunit ibang kahulugan|Actually and actualmente are false friends.
loanword|noun|A word borrowed from another language|hiram na salita|Salitang hinango sa ibang wika|Kindergarten is a loanword from German.
neologism|noun|A newly created word|bagong salita|Bagong likhang salita|Selfie was once a neologism.
archaism|noun|A word no longer in common use|lumang salita|Salitang hindi na ginagamit ngayon|Thou is an archaism.
euphemism|noun|A mild word used in place of a harsh one|malumanay na katawagan|Malambing na salita kapalit ng mabigat|Passed away is a euphemism for died.
